shop_name,digital_listing_count,sold_count,active_listing_count,favorites_count,average_rating,total_rating_count
PeanutButterTaco,1,142907,564,17915,4.9912,38202
ThePaintedPress,0,142212,86,17835,4.9079,17811
WillowRunCrafts,0,142111,541,17039,4.9383,53800
MadeByArtly,0,141999,1375,3013,4.7224,16780
TimeAndMaterials,0,141984,591,15079,4.968,42205
PlannerPress,88,141799,416,32758,4.8871,30317
TiritaCase,0,141762,528,5528,4.6261,13585
LILAxLOLA,347,141749,411,45939,4.928,7016
CustomBrites,0,141065,351,12411,4.8289,18175
BeadologyByHeather,0,140680,5650,12439,4.8865,31936
StampByMeStudio,0,140452,27,8537,4.9383,20092
KIINcreations,132,140316,132,3324,4.8346,5862
OllieandPenny,0,140272,2068,16745,4.868,18667
Tattoorary,0,140154,312,88083,4.8867,12907
CustomGiftCoUK,1,140147,794,3458,4.9344,11560
SampsonJewelry,0,139791,110,28314,4.7552,19620
TwistedAcres,0,139760,372,21737,4.9153,30930
vintagebyme,2154,139278,2154,11823,4.9687,16364
BlushesAndGold,0,139106,94,36887,4.6965,15176
LuckandLuck,0,138837,2239,5589,4.9216,16651
TheCookieCutterShop,0,138820,1034,5397,4.9502,15679
ThicketCompany,0,138792,632,7230,4.9525,13535
LuckyHeartDesignsCo,583,138320,583,8144,4.994,6276
halolo,0,138175,29,12310,4.9375,54898
Laceshine,0,138155,1412,7509,4.7739,6782
HouseOfRounds,0,138115,248,12643,4.8888,24813
EarlesFolly,0,137960,563,3573,4.9227,14106
LeBuaJewelrytoo,0,137867,5379,8705,4.8594,20034
shoteanx,0,137562,773,7264,4.9005,9550
NellasCottage,222,137507,402,12746,4.9444,10584
ZCreateDesign,0,137205,1970,32923,4.7994,28067
chelseabrowndesigns,20,137201,532,11717,4.9423,16618
TheGiftStudioCompany,0,136931,90,10120,4.8701,16105
Aakasha,0,136891,1168,62728,4.8711,28909
uniqueandyoursgifts,0,136884,469,3032,4.7927,17243
triumjewelry,0,136864,490,26333,4.7678,18840
CrystalRiverGems,0,136841,1870,24761,4.9017,29942
YoursPersonalized,0,136509,95,3854,4.8234,17603
BoooTees,0,136272,1869,14638,4.9559,22014
OnTheBeachSVG,2662,136261,2662,3067,4.9258,6028
Angelfabric,0,136187,3265,11471,4.9475,29937
southpassbeads,0,135941,4593,10138,4.9691,32430
DivinePartyDesign,1624,135667,1640,5032,4.9008,12203
TheCrownPrints,1030,135666,1191,27968,4.9545,8040
babyboos,0,135502,519,15144,4.9152,22911
SkinFoodieUS,0,135226,137,28103,4.9067,20568
WeddingsDecorStudio,0,135147,90,3890,4.936,17930
sierrametaldesign,0,134973,1363,11494,4.9249,22232
EditingStudio,115,134934,115,2916,4.709,5495
KhaotikKreationsTx,1603,134911,1603,6432,4.9581,6141
stampoutonline,5,134876,3525,21554,4.8823,25176
SVGoriginalcreations,840,134772,840,3340,4.8659,6983
thewheatfield,0,134674,682,107579,4.9666,29412
PlannerEnvy,0,134447,791,19479,4.9788,22757
SIMONEmadeit,2429,134044,2429,7896,4.9173,8910
FeathersofStyle,501,133927,501,16495,4.9544,5263
JewelsByMoonli,0,133867,440,13585,4.6706,15082
WomanShopsWorld,0,133799,984,57918,4.9437,22442
WalawalaStudio,0,133498,291,21210,4.6976,14082
CharmingMaggie,0,133487,3415,8953,4.9826,32493
TheEasyDesign,205,133485,205,11241,4.8648,6420
LylaSupplies,0,133474,4937,16296,4.9609,16767
Mignonsupply,0,133459,297,15137,4.9329,13287
CraftandBeadsUSA,0,133368,117,5748,4.9291,15501
PandJTrading,0,133332,538,11117,4.8855,25759
ShopOrigamiJewels,0,133309,277,18619,4.7885,21785
zakkalover,0,133307,1464,14492,4.8998,31296
ChasingTheSpark,0,133302,2701,7349,4.9761,31510
HopscotchCraftSupply,0,133225,1678,16424,4.9232,34641
boutiquefonts,707,133117,707,9572,4.8751,9131
EcoEngrave,0,132926,215,3213,4.9075,18404
ChapClipsCo,0,132897,258,12057,4.9707,27149
TheClassicApplique,1102,132834,1102,9168,4.9677,6129
GreatJewelry4All,0,132819,933,20713,4.8258,21924
GR8BEADS,0,132671,2725,9380,4.98,24690
ShinyLittleBlessings,0,132668,545,16322,4.8607,23424
RiverValleyGems,0,132474,187,10482,4.9334,20989
skcreationss,0,131928,317,29758,4.9665,26262
GardeniaFabrics,0,131790,5338,9580,4.9812,25040
1801andco,6,131533,803,21019,4.9214,17340
MermaidBeadsJewelry,0,131118,282,9500,4.8305,16385
Ringcrush,0,130905,504,59712,4.8605,24910
TopLineApparelStore,0,130879,747,4261,4.8506,19182
Embroitique,2648,130444,2648,14108,4.8218,15098
LunarLandings,0,130338,148,29299,4.918,19387
BlushBalloonParty,0,130272,538,10699,4.8908,14029
XOXOKristen,0,130257,645,9781,4.8502,19062
emandsprout,0,130169,248,89174,4.9709,43446
rubywebbs,163,130017,163,14583,4.918,6729
JustNoseRings,0,129932,1175,13178,4.7775,22876
keenaprints,163,129707,901,15737,4.952,39630
GAFTreasures,0,129556,518,20417,4.8462,31160
DigitizingWithLove,2311,129154,2310,5423,4.8681,7381
WholesaleByLillyDs,0,129103,542,16769,4.9611,28356
theplantfarm,0,129028,622,28698,4.8601,37676
BittyandBoho,0,128941,1537,26490,4.966,24392
MeYDecals,0,128792,140,8806,4.9531,20340
SherriBaldy,1687,128732,1688,7878,4.9171,7994
brassgoldbeads,0,128395,842,11304,4.9725,55569
JanicesTailoring,0,128190,80,3945,4.9149,16225
AACottonCreations,46,128106,1116,20350,4.9775,25852
SweetAvasPaper,0,128105,0,14682,5.0,38476
PuddleJumperPups,0,128032,205,42957,4.9383,25379
ResisDentzDesign,0,127987,748,27024,4.8807,18857
NorthPrints,778,127959,778,24674,4.9762,5651
InTheClear,0,127937,1280,29171,4.9557,39046
FlawlessDrips,0,127902,294,4097,4.7829,15857
CTSairplants,0,127755,372,20565,4.8583,31894
StoneAge2,0,127410,2565,17337,4.8867,15480
LexingtonFlair,0,127363,443,5714,4.9816,22815
JeanMariesFabrics,0,127217,4061,12008,4.9715,27037
BreathtakingBeadzz,5,127048,242,11237,4.9487,48593
handmadedezigns,0,126884,33,5707,4.7714,9241
BrideBikini,0,126850,972,12326,4.7874,16800
Punkypins,0,126662,974,53729,4.9539,29214
KitaleighLLC,509,126658,509,15068,4.9832,11440
DearAvaGifts,0,126617,3721,8925,4.8636,16090
WishfulPaperie,2187,126523,2189,7615,4.7963,7488
PaolaBrownShop,0,126485,574,13462,4.9057,18539
OrindasOrnaments,0,126342,1920,5569,4.966,26225
stockberrystudio,878,126264,1042,12875,4.8354,14231
TheItch2Stitch,2147,125974,2147,14274,4.9695,11243
ThePlannerShack,1095,125747,1095,9273,4.9641,14658
PatchNation,0,125706,1980,11091,4.8855,16882
AnnadaisysFabrics,0,125449,1382,10099,4.9737,26867
SHEMISLI,0,125418,515,13303,4.8729,17511
BobbieLouFabric,0,125104,2788,20393,4.9916,28653
leamigurumi,77,125042,188,5459,4.9626,11547
HJYGraphicDesign,286,124857,286,6024,4.9171,8357
ArtPrintsFactory,2172,124775,2172,16599,4.9656,8370
BritchesNBowsShop,0,124717,1140,6853,4.9824,13894
dieStofftante,0,124630,4365,5956,4.9517,16442
UnfetteredCo,0,124513,134,16754,4.9735,17886
KAFontDesigns,592,124485,592,11838,4.9768,11516
sofiamastery,3815,124421,3815,3578,4.6863,6143
GiftBoxLoveCo,0,124354,590,8174,4.9003,12768
mygemgarden2,0,124187,4623,13734,4.9225,39649
styledproductmockups,2589,124158,2589,7568,4.9695,12210
ThePersnicketyCo,0,124107,596,6073,4.8418,12822
BraceletStreetUSA,0,123948,874,9745,4.9793,23438
doubleangeldesign,0,123877,1555,15663,4.9305,74338
PatchParlor,0,123588,2892,6326,4.9515,18418
YellowPaperHouse,18,123509,193,39260,4.9548,36344
GlassSupplies,0,123486,456,11461,4.9622,33952
PlannerPixieCo,366,123364,791,8416,4.996,22818
NothingButFaceMasks,0,123295,51,1903,4.8873,14913
fancinybeads,0,123278,1173,12258,4.7352,21226
PaperboyParty,0,123268,233,18627,4.843,17301
Pearlland88,0,123171,857,11774,4.9449,24691
SEmbroideredBoutique,0,123107,470,20092,4.869,18832
OliverAndMay,4,122790,1172,11146,4.9716,13627
CaliforniaTropicals,0,122751,677,20834,4.764,37848
whiskeynweddingbells,0,122734,159,8152,4.889,18294
LBWjewelrySupply,0,122581,3275,8441,4.9345,9896
BestFinding,0,122493,3491,6202,4.8341,9628
BellasBeadHabit,0,122477,1797,11602,4.9642,36397
ShowerThatBaby,5013,122376,5537,7780,4.9176,11699
AnnieHowes,6,122288,381,26794,4.9741,42932
Mascly,0,122229,166,2722,4.6245,14845
MiaKraftsShop,0,122140,256,8428,4.8739,18978
BlingThatANDThat,0,122061,171,6553,4.9499,13985
thefancypigeon,0,122000,58,9131,4.7955,12545
JoyfulTidingsBridal,0,121919,808,8836,4.8411,15150
stitchinghousewives,268,121695,268,8936,4.994,15084
StDymphnaSupplies,0,121416,1281,12150,4.9417,46821
Candydecoholic,0,121369,804,22568,4.9497,47197
MadeByCleo,0,121227,1563,17153,4.9725,26708
SvgCafe,513,121010,513,5642,4.9495,7230
TheDancingWick,0,121001,326,17718,4.9487,21271
LifetimeCreations,0,120930,174,4739,4.9541,17483
MillpondJewelryCo,0,120905,2056,17351,4.9351,26534
LUCKYJEWUS,0,120840,73,2921,4.7498,17923
CrazyCraftyLadyCo,2744,120636,2744,5588,4.9718,5627
CharmsFindingsPlus,0,120612,2511,7293,4.9769,30162
CountryBumpkinsSC,0,120429,3278,6056,4.9697,20965
BlackLanternStudio,0,120321,403,39014,4.9384,22183
NurseInTheMaking,37,120140,51,24050,4.952,10277
LancelotDIY,0,120049,1271,14692,4.9235,20525
MuseDigitalArt,1869,119957,1869,2686,4.9278,4970
TheLeatherGuyMN,0,119943,293,13506,4.9799,18133
CraftyChicksDesigns1,0,119900,512,2777,4.9035,15493
PamelaZagarenski,0,119839,381,9119,4.991,13312
metalsupplychick,0,119532,730,25297,4.9086,29981
BabyBloomzBoutique,0,119446,182,21983,4.9006,16478
PaperGameCo,0,119435,1226,19017,4.968,25864
aHappyBlueTree,0,119386,0,12582,4.9866,30446
blueberrysprinkles,0,119304,564,5811,4.8799,12966
yukidesigns,0,119095,924,15114,4.987,50481
FeeFeesSplendor,0,118969,1452,10356,4.9522,19863
HangingWithTheBride,0,118830,115,8134,4.9655,21589
JWLGANG,0,118800,240,6264,4.8337,14541
AandSCrystals,0,118773,1976,21238,4.8145,31402
WashiParadise,0,118753,250,17751,4.8842,29762
newagegirl88,0,118647,530,17936,4.9529,31949
CuttingEdgeFabrics,0,118590,2000,9048,4.9548,26517
SewChaCha,721,118588,722,8610,4.9556,11075
DeerCake,0,118441,0,3802,4.9104,16883
BELKYmood,0,118217,21,4353,4.9337,15947
yourperfectgifts,0,118124,1762,23389,4.7182,27862
SterlingSilverBox,0,117747,3592,13280,4.8964,17142
thecottageneedle,490,117733,2636,18208,4.9786,27077
MixedMetalBlankscom,13,117726,2324,9658,4.976,25622
LabelWithLove,20,117696,250,17507,4.872,17707
CentimeGift,0,117678,460,12986,4.8107,14065
PrettySheepy,0,117641,376,19385,4.9633,39834
LaSenada,0,117595,448,10243,4.8128,12054
Gingermelon,199,117480,323,46639,4.956,23338
StickersbyStephanie,0,117471,1798,7257,4.9441,16496
Johnhandmadesupply,0,117358,230,5379,4.85,23586
CleverGalCrafts,0,117316,137,12886,4.9937,26733
AWildBloomPrintables,3246,117248,3246,6561,4.9809,5287
TwoGirlsPatterns,114,117026,114,26093,4.7459,11995
HeirloomKnitPatterns,1157,116986,1157,4703,4.8344,5709
starboardpress,0,116905,743,19255,4.9047,20138
ApplemintHouse,0,116843,701,9065,4.9204,18505
BEEngraved,0,116819,40,19897,4.8136,13486
TheWhiteInviteGifts,0,116602,128,9796,4.8773,14917
StampingBlanks,0,116572,291,6162,4.9715,27397
LEMONCAKEJEWELRY,0,116376,352,12289,4.6677,14519
CustomTeaShirt,0,116303,1404,3988,4.8384,18420
craftisland8888,0,116271,2240,5309,4.9463,32450
digimartSVG,3063,116262,3063,5185,4.8889,3844
dshejewelrymetal,0,116229,4220,7391,4.9298,9897
MissASparkles,0,116178,2043,3750,4.9822,13474
AppliquetionStation,914,116162,914,8576,4.9578,9669
BadgeBlooms,0,116050,1053,16291,4.9176,15610
PrintAndArrow,0,116029,351,5949,4.941,17373
LuFFdesignstudio,1210,116026,1210,3383,4.9444,4952
BayberriesStudio,0,115973,1132,5361,4.9774,15050
MegaBeadStore,0,115964,114,21658,4.9394,33359
DesignLovelyStudio,1394,115900,1394,14089,4.9811,11291
RSVPpartydecor,0,115646,2023,2909,4.8572,11566
tamarascottdesigns,9,115584,1999,12293,4.9611,26109
Novatransfersolution,0,115577,44,4784,4.7403,17158
Bronzemetal,0,115575,756,10007,4.8078,16014
GemBeadsShop,0,115172,3186,10205,4.9089,21984
marcellanyc,0,114954,436,79159,4.7649,20496
SweetEscapesbyDebbie,0,114946,512,7076,4.8423,13832
Luxem,0,114879,922,13264,4.884,14110
BABEINA,0,114878,315,13947,4.8755,18550
crystalhealingmama,0,114846,896,10800,4.8872,22800
MoonwakeDesignsCo,0,114821,880,9339,4.9345,17672
FrenchLemonStudio,0,114821,0,6355,4.9592,12365
ilove2print,848,114733,848,10232,4.9812,12760
MandT2007Supply,0,114622,2849,4991,4.9563,21097
Artymaze,242,114540,242,10805,4.9833,15570
DavetheEagleCards,0,114533,810,2996,4.9663,16824
ModernQuilter,0,114035,3974,14006,4.9361,20296
CholyKnight,167,113976,167,34000,4.9858,11805
froufroucraft,689,113939,689,21369,4.9679,15703
EnchantedDreamerCo,0,113829,363,6491,4.911,11533
MinimalistMagnolia,0,113804,235,30360,4.9167,17920
AcornandCrowStudio,0,113789,130,45915,4.9912,24277
AprilandKiwi,0,113722,330,5880,4.9053,19593
ShopTattitude,0,113505,436,5296,4.9651,16140
GatheringSplendor,0,113453,2289,15442,4.9233,33381
CarsonsCove,0,113376,648,7232,4.9855,16037
BlueBunnyPrintables,3846,113333,3853,6591,4.9304,7863
