Predicted Sales,Actual Sales
67584.00546,51722
32980.98558,26458
28350.02346,24309
56714.72064,82079
42739.28864,22861
34668.02731,27501
31385.91354,35008
29188.85494,47007
23355.21993,25906
38771.3592,26418
42738.60543,36106
29897.17529,25262
66495.54773,98184
42932.77295,32639
42590.44374,26864
75875.51865,77345
35785.93308,36182
39368.8463,35119
63079.18888,72371
22442.18676,22836
28910.31649,22814
42476.59847,49777
28670.6208,25213
32708.66415,43154
35093.00801,26062
46217.94372,29543
31801.83353,27712
33186.10394,25101
47995.59603,71299
88081.47889,75140
53756.53612,58137
27219.1783,33947
46129.83034,34898
59488.84364,42088
58111.99126,52014
45641.53299,30467
43922.87574,71630
35910.7347,25712
73105.25563,82114
50899.27286,56114
21251.05046,23295
48384.25213,37801
26274.59835,23406
36434.32635,40139
46847.8279,55085
31624.65614,30598
28509.65635,26075
39185.87296,44871
25652.48697,34352
51831.02529,48124
42903.03814,32989
37702.69023,26263
37755.39238,38458
49853.81438,100500
63477.57515,70960
32337.0765,35823
48689.98682,60613
38510.40496,22749
72196.24539,84941
25992.59612,27376
29992.37577,24344
46300.80719,31050
44057.69,52346
56327.51605,47544
37454.19831,35880
34773.27389,26750
30121.02997,30697
84184.33758,49743
42390.15964,39891
51281.9708,127959
52097.5727,68460
113682.5201,92104
93519.23937,101903
74352.23569,185062
45860.43375,28562
32711.43057,39129
42792.59112,42592
43116.77071,39233
37010.6266,33848
86109.82085,39356
43065.5078,45325
44939.31927,39121
42161.11262,66194
102800.1514,124158
66262.32064,47899
83159.49829,79237
32844.93919,31096
69574.06818,42980
27661.3006,26684
31573.5448,30882
40489.00924,35614
31774.62612,31780
43795.22577,133485
106910.2744,90957
77888.44134,105114
63726.04646,78382
39107.65931,40555
22536.04223,29098
41759.37892,40162
33990.03378,40306
31395.16892,24997
50341.5278,36756
28926.50905,30217
108837.0143,178706
41625.56508,23411
61274.29775,114821
56268.84662,94622
43405.38756,37265
38259.89848,25425
50014.63597,36659
52158.5832,62041
51343.00006,30667
48668.86466,44661
91598.95711,39053
29246.38288,23748
47544.90035,61924
55339.92897,27490
45375.94991,47518
21053.27764,26047
43061.9599,48259
45141.45304,46907
52418.63172,30888
45025.37478,47831
34906.03156,53088
45534.85411,37484
